编号	中文名	日文名	英文名	图鉴说明	详情	宝可梦
28	装上大货物	大きな荷物をのせて	Large luggage carrier	宽宽的大容量货车，可以装下2个大木箱。	平板货车×1|木箱×2	小锻匠,普通,空空镇|铁骨土人,普通,全部|巧锻匠,稀有,空空镇
29	樵夫工作区	木こりの作業場	Lumberjack's workplace	把用货车运来的圆木放在木桩上，劈成柴火。累了的话，就坐在椅子上休息一下吧。	圆木椅子×1|平板货车×1|树桩（任意）×1|圆木桌×1	牙牙,普通,全部|斧牙龙,普通,全部|双斧战龙,稀有,全部
30	布偶伴好眠	ぬいぐるみとおやすみ	Bed with a plush	援着可爱布偶的床铺。小型宝可梦应该能安心入睡。	床铺（任意）×1|玩偶（任意）×1	飘飘球,普通,全部|呆壳兽,稀有,全部|小卡比兽,稀有,空空镇|呆呆王,稀有,全部
31	柔光伴好眠	やさしい光でおやすみ	Gently lit bed	笼罩着柔和灯光的床铺。宝可梦们应该能放松地入睡。	床铺（任意）×1|桌子（任意）×1|细长蜡烛×1	咕咕,普通,全部|猫头夜鹰,稀有,全部
32	墓前的供品	お墓にお供えもの	Grave offering	幽静的墓前摆着蜡烛和盘子有一点点惊悚的氛围。	墓碑×1|细长蜡烛×2|装盘的食物×1	烛光灵,普通,全部|灯火幽灵,稀有,全部
33	诡异的墓前的供品	ブキミなお墓にお供えもの	Creepy grave offering	给墓地的蜡烛点上火，蓝色的火焰轻轻摇曳，诡异气氛加倍。	诡异的蜡烛×2|墓碑×1|装盘的食物×1	烛光灵,普通,全部|灯火幽灵,普通,全部|水晶灯火灵,稀有,全部
34	吉利蛋休息处	ラッキー休けい所	Chansey Resting area	在吉利蛋的看护下休息片刻。是个可以放松身心的疗愈空间。	花篱（任意）×6|吉利蛋植栽×1|椅子（长）×1	霸王花,稀有,全部|美丽花,稀有,全部
35	灯光与香气的诱惑	明かりと香りのユウワク	Irresistible scent and glow	或许会有宝可梦被磨菇的光亮和花瓶的香味吸引来。	大食花瓶×1|装盘的食物×1|蘑菇台灯×1	口呆花,普通,全部|大食花,稀有,全部
36	在阴凉处漂浮玩水	日かげでプカプカ水遊び	Floating in the shade	如果在充气船上玩累了，就剧遮阳企下休息一下吧。	充气船×1|沙滩遮阳伞×1|水×2	水箭龟,稀有,全部
37	干干的草丛	さらさらな草むら	Smooth tall grass	因为干千的神奇岩石的力量而失去生机的草丛。	枯萎的绿色草×4|沙沙岩石×1	大岩蛇,普通,全部
38	工厂的储藏室	工場の物置き	Factory Storage	试着给巨大的机器接好电线，但操作后也没有反应……。	路灯（任意）×1|控制盘×1|金属桶×1|乱缠电线×1	小磁怪,普通,全部
39	叽叽咕咕奢华大餐	ぜいたくピヨピヨごはん	Luxury chirp-chirp meal	鸟宝可梦似乎会吃着各种树果，在巢箱里休想。	木巢箱×1|树果野餐篮×1	大比鸟,普通,全部
40	树果露营大餐	きのみのごちそうキャンプ	Berry-feast Campsite	在晴空下生起营火。准者各种美食，尽情享受吧。	晴雨飘浮泡泡（晴）×2|营火×1|树果野餐篮×1|高处×1	喷火龙,稀有,全部
41	求雨地点	あまごいスポット	Rain Dance site	摆放食物的盘子和能联想到雨的物品，这里一应俱全。	晴雨飘浮泡泡（雨）×2|装盘的食物×1	黏黏宝,普通,全部
42	大晴天地点	にほんばれスポット	Sunny Day site	摆放食物的盘子和能联想到晴天的物品，这里一应俱全。	晴雨飘浮泡泡（晴）×2|装盘的食物×1	刺球仙人掌,普通,全部
43	博士的宝物	はかせのオタカラ	Professor's treasure trove	看上去像一堆废品，但对博士来说都值得研究。	博士的宝物×1|遗失物（大）×4|床铺（任意）×1	巨蔓藤,普通,全部
44	有温度感的圆木	丸太の温もり	Crazy log handicrafts	木材打造的家具琳琅满目。仿佛置身于山间小屋。	圆木椅子×1|圆木床铺×1|圆木桌×1	牙牙,普通,全部|斧牙龙,稀有,全部|双斧战龙,超稀有,全部
45	树果大集合	きのみ大集合	Very-berry space	桌子和床铺都是树果图案。感觉一直盯着看肚子会饿。	树果造型椅×1|树果造型床×1|树果造型桌×1|树果桌灯×1	黏美龙,稀有,全部
46	庭园露台	ガーデンテラス	Garden Terrace	欣赏着柔和光线下的花，坐在庭园椅子上休息片刻吧。	草地的花×4|庭园椅子×1|庭园灯×1|庭园桌子×1	妙蛙花,稀有,全部
47	树荫下熟睡的卡比兽	木かげでぐっすりカビゴン	Tree-shaded snoozing Snorlax	其他宝可梦可能会误以为有只睡觉的卡比兽而靠近过来。	大树（任意）×1|瞌睡床铺×1	小卡比兽,普通,空空镇|卡比兽-1,普通,空空镇
48	古色古香	古きよきアンティーク	Good old-fashioned antiques	被古董家具环绕，享受复古的气息吧。	古董衣柜×1|古董床铺×1|古董梳妆台×1|古董椅子×1	双弹瓦斯,普通,空空镇|卡比兽-1,普通,空空镇
49	满是精灵球	モンスターボールだらけ	Nothin' but Poke Balls	本以为全是精灵球，却意外成为了舒适的生活空间。	精灵球沙发×1|精灵球造型床×1|精灵球桌子×1|精灵球灯×1	蔓藤怪,普通,空空镇
50	黄色的草丛	黄色の草むら	Yellow tall grass	由黄色草组成的小草丛。在港口城镇很常见。	黄色草×4	圆丝蛛,普通,全部|强颚鸡母虫,普通,全部|阿利多斯,稀有,全部
51	树荫的黄色草丛	木かげの黄色の草むら	Tree-shaded Yellow tall grass	生长在树荫下的黄色草丛。可以尽情体会伤感的氛围。	大树（任意）×1|黄色草×4	超音蝠,普通,全部|大嘴蝠,稀有,全部|幕下力士,普通,全部|铁掌力士,稀有,全部
52	高岗的黄色草丛	高台の黄色の草むら	Elevated yellow tall grass	生长在高处的黄色草丛。在海风的吹拂下轻轻摇曳。	黄色草×4|高处×1	长翅鸥,普通,全部|大嘴鸥,稀有,全部|叉字蝠,超稀有,全部
53	湿润的黄色草丛	うるおう黄色の草むら	Hydrated yellow tall grass	生长在水边的黄色草丛。从水里上岸的宝可梦会在这里休息片刻。	黄色草×4|水×2	露力丽,普通,全部|玛力露,稀有,全部|波加曼,普通,全部|波皇子,稀有,全部
54	沼泽的草丛	沼地の草むら	Marshy tall grass	生长在沼泽中的小草丛。也有宝可梦用它擦去身上的泥巴。	黄色草×4|泥水×2	乌波,普通,暗沉沉海边的城镇|土王,稀有,全部
55	草丛的自动售货机	草むらの自販機	Overgrowth vending machine	在黄色的草丛中矗立的自动售货机。就算在野外，补水也完全没问题。	黄色草×4|自动售货机×1	咩利羊,稀有,全部
56	凉爽的花田	すずしげな花畑	Breezy flower bed	谷海边的花组成的清爽花田。沁人心脾的芬芳会引来宝可梦。	海边的花×4	布拨,普通,全部|索罗亚,普通,全部|索罗亚克,稀有,全部
57	南国氛围	南国気分	Tropical vibes	椰子树下盛开着·台海边的花。四周弥漫着热带风情十足的芬芳。	大椰子树×1|海边的花×4	臭臭花,普通,全部|蛋蛋,普通,全部|椰蛋树,超稀有,全部
58	风之花田	風の花畑	Windy Flower Bed	清风拂过，花田充满凉爽的气息。风车将花香送往远方。	风力发电机×1|海边的花×4	长翅鸥,普通,全部|大嘴鸥,稀有,全部
59	沙滩的树荫	ビーチの木かげ	Shaded beach	椰子树代替遮阳伞，宝可梦也会在沙滩椅上小憩。	大椰子树×1|沙滩椅×1	蛋蛋,普通,全部|椰蛋树,稀有,全部
60	热带海滨	トロピカルシーサイド	Tropical seaside	在椰子树旁吹着海风悠闲度过，仿佛在享受热带风情。	大椰子树×1|花篱（任意）×4|海水×2	拉普拉斯,普通,全部
61	休息处	お休みどころ	Resting spot	空纸箱和松软的稻草床，选择睡哪边似乎会根据喜好分成两派。	纸箱×1|干草床×1	喵喵,普通,全部
62	来收拾吧	おかたづけをしよう	Perpetual mess	散落一地的玩具和纸箱。才刚收拾好，就又乱了。	纸箱×1|玩具（任意）×2	卡蒂狗,普通,全部|露力丽,普通,全部
63	垃圾集中站	ゴミ集積所	Trash collection site	大家的垃圾全都集中在这里。可能会有宝可梦跑来翻找垃圾。	垃圾桶（任意）×1|牌子（任意）×1|垃圾袋×1	破破袋,普通,全部|瓦斯弹,普通,空空镇|双弹瓦斯,稀有,空空镇|灰尘山,稀有,全部
64	好多垃圾桶	ゴミ箱がいっぱい	Trash can central	为防止乱去垃圾而摆放了很多垃圾桶。偶你也会有宝可梦待在里面。	垃圾桶×4	三合一磁怪,稀有,全部|电击兽,稀有,全部|自爆磁怪,超稀有,全部
65	垃圾场	ゴミ捨て場	Trash disposal site	扬在电线杆下的垃圾：周国稍稍有些臭。	电线杆×1|垃圾袋×1	叉字蝠,稀有,全部
66	公园的长椅	公園のベンチ	Park bench	吃完零食后，要把垃圾扔进垃圾桶。宝可梦们做得到吗？。	椅子（长）×1|垃圾桶×1	超音蝠,普通,全部|霹雳电球,普通,全部|顽皮雷弹,超稀有,全部
67	饿肚肚餐厅	腹ペコレストラン	Tantalizing restaurant	桌上摆着餐盘：连菜单都有，简直像餐厅一样、。	椅子（任意）×1|菜单立牌×1|桌子（任意）×1|装盘的食物×1	布土拨,普通,全部|布拨,普通,全部
68	料理送来了	お料理をお届け	Tableside delivery cart	用推车慢慢送来料理。援上桌后，就可以开始用餐了。	雅致椅子×2|雅致桌子×1|单枝花瓶×1|推车×1|装盘的食物×1	帝王拿波,稀有,全部
69	叽叽咕咕大餐	ピヨピヨごはん	Chirp-chirp meal	鸟宝可梦会满怀期待地飞来享用盘子上的食物。	木巢箱×1|桌子（任意）×1|装盘的食物×1	火稚鸡,普通,全部|火焰鸡,超稀有,全部
70	茶水休息区	カフェスペース	Café space	一边欣赏植物，一边享受下午茶。宝可梦们应该也能在这里放松身心。	椅子（任意）×2|植栽（任意）×1|柜台面×2|马克杯×1|菜单立牌×1	布土拨,普通,全部|巴布土拨,普通,全部
71	沙滩套组	ビーチセット	Beach Set	躺在遮阳企下，尽享南国风情。宝可梦们说不定也会躺在这里休息。	沙滩椅×1|沙滩遮阳伞×1|边桌×1	米立龙,稀有,全部|米立龙-1,稀有,全部|米立龙-2,稀有,全部
72	聚光舞台	ライトアップステージ	Light-up stage	炫日灯光照耀下的舞台：喜欧出风头的宝可梦应该会现身。	聚光灯×2|舞台×1	电击兽,普通,全部|电击魔兽,稀有,全部
73	小心机关	しかけにご注意	Surprise in store	被气球包围的新潮盒子里面装了什公？打开有惊喜。	气球×2|惊吓箱×1	鬼斯通,普通,全部|索罗亚克,稀有,全部|耿鬼,稀有,全部
74	夜晚的庆典会场	夜のお祭り会場	Night festival venue	即便到了夜晚，庆典的入口依然被缤纷的霓虹灯照得闪闪发光。	气球×2|雷丘招牌×1	茸茸羊,普通,全部
75	更衣区	お着がえスペース	Changing area	换好衣服后，到镜子前检查全身。在这里变成理想中的模样。	衣柜（任意）×1|镜子（大）×1	泡沫栗鼠,普通,全部
76	打扮时不许偷看	おめかし中は見ないで	Private makeup stand	立起屏风遮住视线，好在打扮的时候不被看到。	屏风（任意）×2|衣柜（任意）×1|梳妆台（任意）×1	泡沫栗鼠,普通,全部|奇诺栗鼠,稀有,全部
77	织毛线	毛糸で編み物	Knitting station	用柔软的毛线做的手工艺品，宝可梦们也非常感兴趣。	椅子（任意）×1|桌子（任意）×1|编织套组×1	咩利羊,普通,全部|茸茸羊,稀有,全部
78	温泉冲洗区	温泉の洗い場	Hot-spring shower	先在冲洗区洗干净身体后再去泡温泉吧。说不定宝可梦们也正在泡哦。	花洒×1|椅子（任意）×1|温泉×2	可达鸭,普通,全部|哥达鸭,稀有,全部
79	在度假区准备做饭	リゾートでご飯のしたく	Resort meal prep	在椰子树下目着火堆，悠战地开始准备做饭吧。	大椰子树×1|椅子（任意）×1|装盘的食物×1|火堆×1	卡蒂狗,普通,全部|火稚鸡,普通,全部|力壮鸡,稀有,全部
80	打包好了	荷づくりできたよ	All packed up	在空纸箱里装满各种物品，然后把纸箱堆上货车吧。	平板货车×1|纸箱×2	大葱鸭,普通,全部|幕下力士,普通,全部|铁掌力士,稀有,全部
81	睡一觉来康复	完治までおやすみ	Full recovery	治病最好的方法就是睡觉。说不定会有喜爱照顾的宝可梦前来。	床铺（任意）×1|自然风储物柜×1|急救箱×1	吉利蛋,普通,全部|皮卡丘,稀有,全部
82	闹钟床位	目覚ましベッドスペース	Alarm clock sleep zone	只要在床边放上闹钟，就不用担心起不来了。	床铺（任意）×1|桌子（任意）×1|闹钟×1	小福蛋,普通,全部
83	在自动售货机旁小憩	自販機ヨコで一息	Vending machine break area	自动售货机旁边放着长椅。宝可梦们说不定也会来稍作休息。	自动售货机×1|椅子（长）×1	强颚鸡母虫,普通,全部|虫电宝,稀有,全部
84	自动售货机套组	自販機セット	Vending machine set	自动售货机旁边的垃圾桶。里面似乎没有空罐子。	垃圾桶（任意）×1|自动售货机×1	电击怪,普通,全部|电击魔兽,稀有,全部
85	迷你游戏城	ミニゲームコーナー	Mini Game Corner	玩过街机之后，就用拳击机活动身体吧。	街机×1|椅子（任意）×1|拳击机×1	三合一磁怪,普通,全部|自爆磁怪,稀有,全部
86	水力发电厂	水力はつでん所	Waterwheel Spot	很万害的设施。能用瀑布倾泻而下的水流产生电力。	水力发电机×1|水×2|瀑布×1	波皇子,稀有,全部|帝王拿波,超稀有,全部
87	火力发电厂	火力はつでん所	Furnace Spot	很万害的设施。加入燃料就能靠火的力量发电。	金属桶×1|火力发电机×1	力壮鸡,普通,全部|火焰鸡,稀有,全部
88	码头	船着き場	Dock	海边的小小码头。正在游泳的宝可梦说不定也会顺道过来。	栈桥×4|路灯（任意）×1|海水×2	玛力露,普通,全部|玛力露丽,稀有,全部
89	诡异的书房	あやしい書さい	Spooky study	点上蜡烛来读书吧到了夜晚，气氛会变得有些诡异。	书架×1|雅致沙发×1|自然风桌子×1|细长蜡烛×1	鬼斯,普通,全部|鬼斯通,稀有,全部
90	水手过家家	ふなのりごっこ	Playing pirate	站在舵前或大炮后，感觉就像成为了船员。	木桶×2|船舵×1|发射筒×2	霹雳电球,普通,全部|顽皮雷弹,普通,全部
91	在柜台结账	レジでお会計	Working the register	在桌上放个收银机，通上电，转眼间店铺就开张了。	桌子（任意）×2|收银机×1	喵喵,普通,全部|差不多娃娃,普通,全部|小福蛋,普通,全部|大嘴娃,普通,空空镇
92	小小画室	ちいさなアトリエ	Tiny Atelier	坐在椅子上凝视画布，感觉会涌出灵感。	画布×1|椅子（任意）×1	图图犬,普通,全部
93	美味的供品	グルメなお供え物	Gourmet's altar	如果把食物放在盘子里，食量大的宝可梦应该会很高兴。	供品台×1	卡比兽,普通,全部
94	皮卡丘空间	ピカチュウスペース	Pikachu space	沙发和玩偶都是皮卡丘的模样。说不定会有宝可梦以为是真的而前来。	皮卡丘沙发×1|皮卡丘玩偶×1	谜拟丘,普通,全部
95	超可爱空间	ベリーキュートな空間	Cuteness overload	被可爱的东西包围，感觉自己仿佛就是公主。	可爱的沙发×1|可爱的桌子×1|可爱的灯×1|可爱的床×1|可爱的梳妆台×1	幸福蛋,稀有,全部
96	欢迎来到度假区	リゾートへようこそ	Welcoming resort	在沙发或品床上躺下休息，感觉就像自己成为了名流。	度假风沙发×1|度假风桌子×1|度假风吊床×1|度假风灯×1	阿勃梭鲁,普通,全部
97	自然风生活	ナチュラルなくらし	Plain life	简约却安稳的空间宝可梦们也可以过上舒适的生活。	自然风床铺×1|自然风沙发×1|自然风桌子×1|自然风台灯×1	电龙,稀有,全部
98	红色的草丛	赤い草むら	Red tall grass	红色的草组成的小草丛。在山间很常见。	红色草×4	炎兔儿,普通,全部|利欧路,普通,全部|闪焰王牌,超稀有,全部|圆法师,普通,全部|音箱蟀,稀有,全部
99	树荫的红色草丛	木かげの赤い草むら	Tree-shaded red tall grass	湿润的红色草散发香味，吸宝可梦们前来。	大树（任意）×1|红色草×4	地鼠,普通,全部|三地鼠,稀有,全部|盆才怪,普通,全部|树才怪,稀有,全部
100	三角形树荫的岩石和草丛	三角木かげに岩と草むら	Pointy tree-shaded rocky tall grass	望着高高的三角树，在草丛中背靠岩石休息片刻。	三角树×1|红色草×4|大石头×1	投羽枭,普通,全部|狙射树枭,超稀有,全部
101	湿润的红色草丛	うるおう赤い草むら	Hydrated red tall grass	山间常见的红色草，但在水边也能顺利生长。	红色草×4|水×2	莲叶童子,普通,全部|莲帽小童,稀有,全部
102	高岗的红色草丛	高台の赤い草むら	Elevated red tall grass	在山顶等高处也长满了红色草。	红色草×4|高处×1	黑暗鸦,普通,全部|聒噪鸟,普通,全部|乌鸦头头,稀有,全部
103	草丛训练场	草むらトレーニング場	Grassy training field	装着土的袋子可以代替亚铃。感觉喜欢锻炼的宝可梦会来。	沙包×2|红色草×4	豪力,普通,全部|怪力,稀有,全部
104	优雅的花田	ゆうがな花畑	Graceful flower bed	优雅美丽的花田，开满了费岩地的花。	岩地的花×4	皮宝宝,普通,全部|狗仔包,普通,全部|皮可西,超稀有,全部|皮皮,普通,全部|麻花犬,稀有,全部
105	树荫的优雅花田	木かげのゆうがな花畑	Tree-shaded graceful flower bed	费岩地的花散发出优雅的香气，轻柔地弥漫在四周。	三角树×1|岩地的花×4	黑暗鸦,普通,全部|燃烧虫,普通,全部|火神蛾,超稀有,全部
106	湿润的优雅花田	うるおうゆうがな花畑	Hydrated graceful flower bed	即使是在水边，费岩地的花也会傲然绽放。	岩地的花×4|水×2	阿柏蛇,普通,全部|阿柏怪,稀有,全部|蚊香蛙皇,稀有,全部
107	花田里的树桩舞台	花畑の切り株ステージ	Flower garden stump stage	建在花田中的舞台。站在树桩上沐浴灯光，感觉就像明星一样。	岩地的花×4|树桩（任意）×1|蘑菇台灯×2	宝宝丁,普通,全部|胖丁,普通,全部|蚊香蛙皇,稀有,全部
108	种田不容易	畑しごとはたいへん	Toil in the soil	日里的蔬菜正在中壮成长：偶尔换换土，补充营养吧。	菜田（任意）×4|手推车×1	班基拉斯,稀有,全部
109	浮浮水洼	うきうきな水たまり	Uplifting duckweed	可以在浮萍上行走，也可以跟着它一起漂浮。	浮萍×4|水×2	莲叶童子,普通,全部|乐天河童,稀有,全部
110	满是苔藓	コケまみれ	Mossy rest spot	潮平平的，长满了苔藓。正适合喜欢潮湿环境的宝可梦。	苔藓×4	幼基拉斯,普通,全部|班基拉斯,超稀有,全部
111	长满苔藓的岩石	コケまみれの岩	Mossy boulder	空气湿润，氛围宁静。宝可梦们应该也能度过悠闲时光。	苔藓×4|苔岩×1	隆隆石,普通,全部|隆隆岩,稀有,全部
112	绿苔温泉	コケむす温泉	Mossy hot spring	绿艺环绕的温泉。感受寂零之美，尽享悠闲时光。	苔藓×4|温泉×2	煤炭龟,普通,全部
113	露天温泉	露天風呂	Open-air bath	宝可梦们也会一边泡温泉，一边享受美景。	出水口×1|温泉×2	腾蹴小将,普通,全部
114	养生温泉	ととのう温泉	Harmonious hot spring	泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。	出水口×1|水盆×1|温泉×2	蚊香蛙皇,普通,全部
115	熔岩熔岩热乎乎	マグマでアツアツ	Piping-hot lava	到处都是熔岩，非常热。火居性的宝可梦难以抗拒。	热热岩×1|熔岩×2	炭小侍,普通,全部|火神蛾,稀有,全部
116	挖掘和煅烧	掘って燃やして	Digging and burning	作业工具旁放着巨大的炉子。或许会有谁来生火。	手推车×1|熔炉×1|掘山道具×1	鸭嘴火兽,普通,全部
117	咚隆咣啷钢架工程	ガタゴト鉄骨工事	Clink-clang iron construction	钢架工程正在进行。力气大的宝可梦好像会来帮忙。	钢骨×3|手推车×1|沙包×1|掘山道具×1	大钢蛇,普通,全部|怪力,稀有,全部
118	诡异的白色岩石	ブキミな白い岩	Creepy white rocks	高高的岩石周围长满了产藓。在提灯的光线下，显得有些阴森。	笋岩×1|苔藓×4|木箱×1|提灯×1	晶光芽,普通,全部|晶光花,稀有,全部
119	在货物摆放处偷吃	荷物置き場でつまみ食い	Container snacking	在货物摆放处躲起来偷吃东西。宝可梦们可能也会肖悄凑过来。	木桶×1|木箱×1|提灯×1|装盘的食物×1	地鼠,普通,全部|晶光芽,普通,全部|晶光花,普通,全部
120	充满期待的餐桌	ワクワクな食卓	Dinner table surprise	今天的主菜是什公？敬请期待盖子打开的时刻吧。	椅子（长）×2|桌子（大）×1|派对餐盘×4	吞食兽,稀有,全部
121	大口面包工坊	パクパク パン工房	Best bread bakery	一边等面包出炉，一边准音配菜吧。	面包窑×1|柜台面×2|装盘的食物×1	狗仔包,普通,全部|麻花犬,稀有,全部
122	迷你厨房	ミニキッチン	Mini kitchen	洗好食材和碗碟，开火做料理。今天做什公好?	厨房桌子×1|炉灶×1|平底锅（任意）×1|水槽×1	鸭嘴炎兽,稀有,全部
123	大家一起开派对	みんなでパーティー	House party	食物和饮料都是自助式的。和大家一起尽情享受吧。	供餐柜台×1|派对杯×1|装盘的食物×1	三地鼠,普通,全部|树才怪,普通,全部
124	悠闲地重温照片	のんびり写真を振り返り	Lazy-photo album scrolling	一手端着饮料，在平板电脑上悠闲地翻看照片吧。	平板电脑×1|派对杯×1	电音婴,普通,凸隆隆山地的城镇
125	鸣唱会	さえずりのリサイタル	Chirping recital	说不定会有鸟宝可梦来到麦克风前展现动听的歌喉。	木制栖杠×1|立式麦克风×1	聒噪鸟,普通,全部|乌鸦头头,稀有,全部
126	独唱舞台	リサイタルステージ	Recital stage	登上专属的舞台，来唱歌吧！	音箱×2|舞台×1|立式麦克风×1	胖丁,普通,全部|胖可丁,稀有,全部
127	跟着节奏一二三	リズムに合わせてワンツー	Box to the rhythm	宝可梦们也会随着节拍兴致勃勃地锻。	沙袋×1|桌子（任意）×1|CD播放器×1	豪力,普通,全部|利欧路,普通,全部|路卡利欧,普通,全部
128	音乐与阅读	音楽と読書	Music and magazines	边放音乐边看书，感觉能比平时更加放松。	CD播放器×1|CD架×1|杂志柜×1	圆法师,普通,全部|音箱蟀,普通,全部|洛托姆,稀有,全部
